"VIDEO","TOTAL_COUNT","UPWARD","DOWNWARD","LATERAL","WINDOW","OVERLAP"
"192_168_4_5-2020-09-28_22-00-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-02_09-30-01","105.0","43.0","51.0","11.0","15","3"
"192_168_4_5-2020-09-15_08-15-01","97.0","36.0","40.0","21.0","13","1"
"192_168_4_5-2020-09-14_09-15-01","129.0","55.0","59.0","15.0","13","3"
"192_168_4_5-2020-09-13_16-15-01","67.0","16.0","46.0","5.0","13","1"
"192_168_4_5-2020-09-08_17-45-01","137.0","62.0","51.0","24.0","13","3"
"192_168_4_5-2020-10-02_19-45-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-03_20-00-01","23.0","8.0","8.0","7.0","13","1"
"192_168_4_5-2020-09-18_22-30-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-25_12-00-02","298.0","108.0","115.0","75.0","13","1"
"192_168_4_5-2020-09-21_17-00-01","1782.0","675.0","720.0","387.0","21","3"
"192_168_4_5-2020-09-07_15-00-01","1897.0","806.0","850.0","241.0","25","9"
"192_168_4_5-2020-09-16_15-15-01","920.0","338.0","387.0","195.0","19","1"
"192_168_4_5-2020-09-23_11-00-01","553.0","258.0","278.0","17.0","13","1"
"192_168_4_5-2020-08-31_20-45-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-11_19-30-01","3.0","0.0","1.0","2.0","13","1"
"192_168_4_5-2020-09-03_20-30-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-08-24_22-00-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-06_22-00-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-08-24_19-00-01","2790.0","1079.0","1220.0","491.0","15","5"
"192_168_4_5-2020-09-06_17-45-02","1823.0","767.0","870.0","186.0","19","1"
"192_168_4_5-2020-09-24_09-00-01","104.0","37.0","54.0","13.0","13","3"
"192_168_4_5-2020-09-28_14-30-01","1132.0","518.0","540.0","74.0","17","5"
"192_168_4_5-2020-10-01_16-45-01","81.0","38.0","33.0","10.0","13","1"
"192_168_4_5-2020-09-04_19-30-01","930.0","406.0","459.0","65.0","21","5"
"192_168_4_5-2020-08-30_21-30-02","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-10_12-15-01","945.0","451.0","433.0","61.0","23","3"
"192_168_4_5-2020-10-01_15-00-01","572.0","280.0","267.0","25.0","13","1"
"192_168_4_5-2020-09-22_11-30-01","519.0","234.0","220.0","65.0","21","1"
"192_168_4_5-2020-09-21_20-45-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-08-24_23-45-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-10-01_08-00-01","43.0","18.0","21.0","4.0","15","1"
"192_168_4_5-2020-09-10_10-45-01","728.0","360.0","339.0","29.0","17","1"
"192_168_4_5-2020-08-29_12-15-01","1692.0","770.0","769.0","153.0","25","9"
"192_168_4_5-2020-09-17_20-15-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-22_15-45-01","1191.0","504.0","518.0","169.0","13","3"
"192_168_4_5-2020-09-15_08-45-01","201.0","82.0","95.0","24.0","13","5"
"192_168_4_5-2020-09-25_10-00-01","386.0","190.0","176.0","20.0","13","1"
"192_168_4_5-2020-09-03_13-15-01","3008.0","1277.0","1370.0","361.0","25","13"
"192_168_4_5-2020-09-27_22-00-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-20_20-15-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-21_14-30-01","344.0","130.0","160.0","54.0","23","1"
"192_168_4_5-2020-09-01_17-00-01","1235.0","459.0","463.0","313.0","25","9"
"192_168_4_5-2020-09-29_19-45-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-10-02_12-15-01","43.0","8.0","31.0","4.0","13","1"
"192_168_4_5-2020-09-06_17-00-01","1196.0","459.0","614.0","123.0","15","3"
"192_168_4_5-2020-09-01_11-30-01","415.0","177.0","201.0","37.0","23","1"
"192_168_4_5-2020-09-27_21-15-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-02_10-30-01","71.0","27.0","30.0","14.0","13","1"
"192_168_4_5-2020-08-25_16-15-01","896.0","396.0","424.0","76.0","25","7"
"192_168_4_5-2020-08-27_08-15-01","156.0","58.0","78.0","20.0","13","1"
"192_168_4_5-2020-09-24_14-30-02","2361.0","959.0","924.0","478.0","25","9"
"192_168_4_5-2020-09-20_16-15-01","1490.0","552.0","592.0","346.0","19","1"
"192_168_4_5-2020-09-01_17-15-01","1086.0","426.0","497.0","163.0","27","9"
"192_168_4_5-2020-09-17_09-30-01","34.0","12.0","8.0","14.0","13","1"
"192_168_4_5-2020-09-26_16-00-01","28.0","3.0","7.0","18.0","13","1"
"192_168_4_5-2020-08-28_15-30-01","2193.0","852.0","892.0","449.0","17","5"
"192_168_4_5-2020-08-26_11-45-01","1105.0","488.0","490.0","127.0","23","1"
"192_168_4_5-2020-08-26_14-45-01","1176.0","482.0","459.0","235.0","25","3"
"192_168_4_5-2020-09-03_15-30-01","1658.0","750.0","741.0","167.0","19","1"
"192_168_4_5-2020-09-03_13-00-01","1505.0","652.0","704.0","149.0","25","9"
"192_168_4_5-2020-09-10_11-00-02","1140.0","495.0","542.0","103.0","25","9"
"192_168_4_5-2020-08-30_08-00-02","41.0","14.0","17.0","10.0","13","1"
"192_168_4_5-2020-09-10_13-15-01","1269.0","544.0","630.0","95.0","27","1"
"192_168_4_5-2020-09-29_21-00-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-18_07-00-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-02_10-00-01","147.0","60.0","62.0","25.0","15","1"
"192_168_4_5-2020-09-21_17-45-01","1552.0","634.0","673.0","245.0","19","1"
"192_168_4_5-2020-09-15_10-45-01","291.0","121.0","136.0","34.0","13","1"
"192_168_4_5-2020-09-01_18-15-01","821.0","317.0","408.0","96.0","13","3"
"192_168_4_5-2020-09-12_07-00-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-08-30_16-45-01","380.0","130.0","168.0","82.0","17","1"
"192_168_4_5-2020-08-27_15-45-01","2377.0","1053.0","1099.0","225.0","25","13"
"192_168_4_5-2020-09-20_15-15-02","969.0","386.0","378.0","205.0","23","1"
"192_168_4_5-2020-09-19_14-00-01","1222.0","504.0","590.0","128.0","27","1"
"192_168_4_5-2020-09-25_22-30-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-08-29_07-15-01","124.0","45.0","52.0","27.0","13","1"
"192_168_4_5-2020-09-03_12-00-01","662.0","311.0","320.0","31.0","23","1"
"192_168_4_5-2020-09-24_15-00-01","345.0","150.0","180.0","15.0","23","1"
"192_168_4_5-2020-09-29_16-00-01","1253.0","544.0","561.0","148.0","15","5"
"192_168_4_5-2020-10-01_17-15-01","173.0","46.0","102.0","25.0","13","1"
"192_168_4_5-2020-09-06_18-30-01","737.0","277.0","400.0","60.0","17","1"
"192_168_4_5-2020-09-02_16-00-01","2230.0","966.0","1038.0","226.0","17","3"
"192_168_4_5-2020-09-27_16-15-01","1290.0","611.0","611.0","68.0","21","5"
"192_168_4_5-2020-08-24_18-30-01","1625.0","551.0","670.0","404.0","21","3"
"192_168_4_5-2020-08-29_13-15-01","617.0","289.0","283.0","45.0","23","1"
"192_168_4_5-2020-09-15_12-15-01","505.0","226.0","225.0","54.0","23","3"
"192_168_4_5-2020-08-31_11-15-01","36.0","6.0","17.0","13.0","13","1"
"192_168_4_5-2020-09-01_09-15-01","32.0","10.0","13.0","9.0","13","1"
"192_168_4_5-2020-09-17_16-45-01","928.0","373.0","482.0","73.0","13","5"
"192_168_4_5-2020-10-02_07-30-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-03_13-30-01","1762.0","762.0","768.0","232.0","21","5"
"192_168_4_5-2020-09-24_18-00-01","372.0","124.0","208.0","40.0","13","5"
"192_168_4_5-2020-09-25_21-30-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-08-26_19-00-01","2747.0","1047.0","1298.0","402.0","15","5"
"192_168_4_5-2020-09-18_21-30-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-21_23-15-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-08-24_13-15-01","823.0","380.0","359.0","84.0","23","1"
"192_168_4_5-2020-08-26_11-00-01","2511.0","1044.0","1073.0","394.0","13","5"
"192_168_4_5-2020-09-02_23-30-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-05_21-15-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-21_20-00-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-08_17-15-01","53.0","20.0","24.0","9.0","13","1"
"192_168_4_5-2020-09-15_09-00-01","109.0","38.0","50.0","21.0","13","3"
"192_168_4_5-2020-08-29_11-45-01","2182.0","882.0","895.0","405.0","25","9"
"192_168_4_5-2020-09-23_09-00-01","128.0","46.0","62.0","20.0","13","3"
"192_168_4_5-2020-09-25_12-30-01","748.0","342.0","362.0","44.0","21","3"
"192_168_4_5-2020-09-01_13-15-01","913.0","408.0","422.0","83.0","25","5"
"192_168_4_5-2020-09-29_18-15-01","390.0","157.0","177.0","56.0","17","3"
"192_168_4_5-2020-09-21_12-45-01","869.0","384.0","382.0","103.0","21","3"
"192_168_4_5-2020-09-26_15-45-01","106.0","0.0","86.0","20.0","13","1"
"192_168_4_5-2020-09-24_15-45-01","674.0","272.0","303.0","99.0","13","3"
"192_168_4_5-2020-09-10_19-00-01","406.0","101.0","260.0","45.0","13","5"
"192_168_4_5-2020-09-16_12-00-01","1376.0","643.0","633.0","100.0","13","3"
"192_168_4_5-2020-08-27_21-00-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-19_19-45-01","0.0","0.0","0.0","0.0","13","1"
