"VIDEO","TOTAL_COUNT","UPWARD","DOWNWARD","LATERAL","WINDOW","OVERLAP"
"192_168_4_5-2020-06-22_12-30-01","1362.0","506.0","523.0","333.0","21","5"
"192_168_4_5-2020-06-24_15-30-02","2681.0","1070.0","1302.0","309.0","27","11"
"192_168_4_5-2020-06-24_13-30-01","996.0","424.0","438.0","134.0","25","1"
"192_168_4_5-2020-07-01_11-00-01","1062.0","358.0","411.0","293.0","21","5"
"192_168_4_5-2020-06-25_20-15-02","849.0","253.0","456.0","140.0","23","1"
"192_168_4_5-2020-07-07_08-30-01","454.0","167.0","225.0","62.0","23","1"
"192_168_4_5-2020-06-24_19-45-01","847.0","307.0","335.0","205.0","23","3"
"192_168_4_5-2020-07-08_14-30-01","669.0","283.0","349.0","37.0","23","3"
"192_168_4_5-2020-06-23_09-00-01","695.0","250.0","288.0","157.0","23","1"
"192_168_4_5-2020-07-01_20-45-01","1308.0","522.0","627.0","159.0","17","5"
"192_168_4_5-2020-06-26_11-00-01","1081.0","423.0","480.0","178.0","25","3"
"192_168_4_5-2020-07-15_15-30-01","1988.0","747.0","914.0","327.0","27","11"
"192_168_4_5-2020-07-09_13-15-01","1253.0","550.0","576.0","127.0","25","3"
"192_168_4_5-2020-06-29_14-00-01","184.0","67.0","75.0","42.0","13","1"
"192_168_4_5-2020-06-23_07-45-01","388.0","127.0","142.0","119.0","21","1"
"192_168_4_5-2020-06-27_17-15-01","1351.0","532.0","659.0","160.0","27","9"
"192_168_4_5-2020-06-26_11-45-01","700.0","274.0","334.0","92.0","23","1"
"192_168_4_5-2020-06-23_13-45-01","1387.0","619.0","670.0","98.0","23","3"
"192_168_4_5-2020-07-04_20-15-01","1267.0","413.0","602.0","252.0","25","3"
"192_168_4_5-2020-07-04_10-00-01","586.0","238.0","242.0","106.0","23","1"
"192_168_4_5-2020-06-30_21-00-01","62.0","22.0","23.0","17.0","13","1"
"192_168_4_5-2020-07-09_16-15-01","4729.0","1937.0","2137.0","655.0","25","15"
"192_168_4_5-2020-07-06_11-15-01","630.0","282.0","309.0","39.0","23","3"
"192_168_4_5-2020-07-14_17-00-01","3171.0","1407.0","1352.0","412.0","27","11"
"192_168_4_5-2020-07-13_12-30-01","1146.0","483.0","533.0","130.0","27","9"
"192_168_4_5-2020-07-13_12-45-01","924.0","412.0","415.0","97.0","23","3"
"192_168_4_5-2020-06-23_09-30-01","873.0","355.0","362.0","156.0","25","1"
"192_168_4_5-2020-06-29_08-15-01","11.0","2.0","5.0","4.0","13","1"
"192_168_4_5-2020-06-23_15-00-01","2074.0","855.0","892.0","327.0","25","13"
"192_168_4_5-2020-07-02_23-45-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-07-07_23-45-02","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-06-23_13-30-01","2004.0","904.0","912.0","188.0","25","7"
"192_168_4_5-2020-06-24_14-15-01","648.0","278.0","306.0","64.0","23","1"
"192_168_4_5-2020-07-01_09-30-01","635.0","217.0","234.0","184.0","23","1"
"192_168_4_5-2020-07-07_16-30-01","1460.0","616.0","648.0","196.0","27","9"
"192_168_4_5-2020-07-08_19-45-01","946.0","275.0","459.0","212.0","25","3"
"192_168_4_5-2020-06-24_18-15-01","1021.0","365.0","400.0","256.0","25","5"
"192_168_4_5-2020-07-03_14-15-01","2687.0","964.0","956.0","767.0","25","9"
"192_168_4_5-2020-06-29_13-00-01","215.0","77.0","81.0","57.0","13","1"
"192_168_4_5-2020-07-03_10-30-01","696.0","264.0","269.0","163.0","23","1"
"192_168_4_5-2020-06-28_16-30-01","550.0","212.0","187.0","151.0","19","1"
"192_168_4_5-2020-07-09_14-00-01","2163.0","819.0","840.0","504.0","25","13"
"192_168_4_5-2020-07-11_08-00-01","911.0","287.0","347.0","277.0","21","3"
"192_168_4_5-2020-07-02_07-30-02","52.0","22.0","24.0","6.0","21","1"
"192_168_4_5-2020-07-08_16-15-01","2617.0","1104.0","1218.0","295.0","25","13"
"192_168_4_5-2020-07-15_09-45-02","667.0","184.0","303.0","180.0","21","3"
"192_168_4_5-2020-07-14_20-30-01","1235.0","446.0","512.0","277.0","21","5"
"192_168_4_5-2020-06-29_17-15-01","872.0","334.0","336.0","202.0","25","5"
"192_168_4_5-2020-07-13_22-30-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-06-26_08-45-01","512.0","138.0","154.0","220.0","21","5"
"192_168_4_5-2020-07-18_08-00-01","12.0","1.0","11.0","0.0","21","1"
"192_168_4_5-2020-07-11_12-45-01","1257.0","586.0","598.0","73.0","23","1"
